Dates,Last 10 Year Average (Flow in cumecs),Last Year (Flow in cumecs),Current Year (Flow in cumecs),Level (m)
Jan-07,57.9171208,73.78,54.47602,257.99
Feb-07,61.5536825,55.965084,54.47488,257.99
Mar-07,46.4476597,51.40712,59.21,258.02
Apr-07,50.3925121,60.91,42.37,257.94
May-07,58.1142003,108.76259,33.507915,257.89
Jun-07,111.3030701,210.59377,128.13618,258.44
Jul-07,439.4718986,884.7643,290.42035,259.03
Aug-07,372.5125974,300.52893,343.77472,259.23
Sep-07,329.752264,320.43445,415.3,259.3
Oct-07,504.999391,362.45993,762.737,260.03
Nov-07,214.097986,190.95117,188.58673,258.63
Dec-07,95.3512589,70.91,45.60349,258.02
Jan-08,54.7321208,54.47602,32.18,257.87
Feb-08,59.7486328,54.47488,52.889503,257.99
Mar-08,51.9702637,59.21,123.07604,258.43
Apr-08,51.2735025,42.37,84.549904,258.17
May-08,62.5720553,33.507915,110.55855,258.33
Jun-08,110.4105614,128.13618,48.824913,257.99
Jul-08,446.5829286,290.42035,522.8103,259.51
Aug-08,399.2225974,343.77472,567.9,259.66
Sep-08,291.20668,415.3,253.74416,258.86
Oct-08,502.232566,762.737,268.73175,258.93
Nov-08,229.027986,188.58673,369.1,259.19
Dec-08,92.2418195,45.60349,77.105606,258.16
Jan-09,51.1326148,32.18,35.30494,257.92
Feb-09,57.2909758,52.889503,44.92343,257.96
Mar-09,53.9220517,123.07604,73.44788,258.13
Apr-09,43.6042305,84.549904,36.70728,257.91
May-09,64.4390553,110.55855,92.25,258.24
Jun-09,97.6385891,48.824913,12.280277,257.67
Jul-09,373.2737646,522.8103,326.90836,259.07
Aug-09,401.1473894,567.9,248.44792,258.9
Sep-09,305.90923,253.74416,409.1255,259.3
Oct-09,413.543192,268.73175,218.10626,258.76
Nov-09,210.883756,369.1,151.7577,258.54
Dec-09,90.250877,77.105606,127.690575,258.44
Jan-10,47.4796148,35.30494,43.84,258.01
Feb-10,44.3329758,44.92343,48.92,258.04
Mar-10,55.2443817,73.44788,60.9233,258.07
Apr-10,48.4174115,36.70728,95.13181,258.24
May-10,75.1974333,92.25,156.03378,258.53
Jun-10,85.6414041,12.280277,32.84675,257.86
Jul-10,412.5009131,326.90836,471.61496,259.44
Aug-10,306.0585194,248.44792,274.3167,258.84
Sep-10,276.832932,409.1255,238.54642,258.76
Oct-10,419.919659,218.10626,403.6,259.22
Nov-10,213.952686,151.7577,301.41608,258.93
Dec-10,85.933727,127.690575,114.7285,258.34
Jan-11,45.8081104,43.84,58.554436,258.03
Feb-11,46.7597043,48.92,92.44241,258.2
Mar-11,56.703822,60.9233,64.2132,258.08
Apr-11,51.787046,95.13181,86.18072,258.18
May-11,79.6483438,156.03378,112.972565,258.35
Jun-11,84.6187571,32.84675,219.08246,258.7
Jul-11,424.3088075,471.61496,244.7,258.78
Aug-11,326.7854034,274.3167,406.9,259.21
Sep-11,275.152722,238.54642,286.3979,258.86
Oct-11,426.279664,403.6,355.6952,259.07
Nov-11,244.175676,301.41608,512.3299,259.5
Dec-11,84.9961544,114.7285,94.822624,258.23
Jan-12,44.1862174,58.554436,50.96818,257.98
Feb-12,46.5515613,92.44241,52.05545,257.98
Mar-12,56.6920667,64.2132,62.652447,258.07
Apr-12,61.6564816,86.18072,128.12238,258.42
May-12,81.1485354,112.972565,57.91491,258.01
Jun-12,85.9844377,219.08246,51.616806,257.96
Jul-12,418.765243,244.7,37.322495,257.81
Aug-12,327.286353,406.9,86.46816,258.2
Sep-12,278.318756,286.3979,209.21658,258.65
Oct-12,341.191889,355.6952,103.02225,258.28
Nov-12,242.4813714,512.3299,108.609474,258.31
Dec-12,85.273165,94.822624,70.501076,258.13
Jan-13,42.8551845,50.96818,28.036213,257.72
Feb-13,47.4181365,52.05545,29.181402,257.71
Mar-13,57.1489331,62.652447,23.04,257.65
Apr-13,62.0079563,128.12238,15.836594,257.56
May-13,81.0643062,57.91491,15.911126,257.56
Jun-13,180.6315654,51.616806,973.1884,260.07
Jul-13,543.3094675,37.322495,1300,260.95
Aug-13,334.950469,86.46816,251.44116,258.74
Sep-13,278.171056,209.21658,185.13712,258.57
Oct-13,349.920324,103.02225,167.85085,258.5
Nov-13,245.4230144,108.609474,137.41643,258.41
Dec-13,87.8932825,70.501076,65.74855,258.06
Jan-14,44.030936,28.036213,33.96666,257.85
Feb-14,49.8283585,29.181402,35.36222,257.87
Mar-14,59.3546177,23.04,42.45,257.93
Apr-14,66.0085748,15.836594,65.27288,258.09
May-14,84.1478366,15.911126,71.3843,258.15
