Dates,Last 10 Year Average (Flow in cumecs),Last Year (Flow in cumecs),Current Year (Flow in cumecs),Level (m)
Jun-08,246,0,246,753.97
Jul-08,1260,0,1260,756.16
Aug-08,95.54,0,95.54,753.26
Sep-08,33.78757,0,33.78757,752.76
Oct-08,36.28647,0,36.28647,752.75
Nov-08,83.39,0,83.39,753.18
Dec-08,6.815713,0,6.815713,752.35
Jan-09,0,0,0,751.96
Feb-09,0,0,0,751.75
Mar-09,0,0,0,751.7
Apr-09,0,0,0,751.63
May-09,0,0,0,751.8
Jun-09,133.8238375,246,21.647675,752.64
Jul-09,760.69722,1260,261.39444,754.3
Aug-09,84.643287,95.54,73.746574,753.09
Sep-09,46.069776,33.78757,58.351982,752.95
Oct-09,40.843235,36.28647,45.4,752.83
Nov-09,62.18,83.39,40.97,752.78
Dec-09,25.3028565,6.815713,43.79,752.89
Jan-10,0.4655,0,0.931,751.84
Feb-10,0,0,0,751.95
Mar-10,0,0,0,751.73
Apr-10,0,0,0,751.73
May-10,0,0,0,751.8
Jun-10,110.719225,21.647675,64.51,753.05
Jul-10,671.0981467,261.39444,491.9,755.81
Aug-10,143.528858,73.746574,261.3,754.53
Sep-10,45.22472867,58.351982,43.534634,752.87
Oct-10,47.40549,45.4,60.53,753.01
Nov-10,64.31666667,40.97,68.59,753.09
Dec-10,29.15974567,43.79,36.873524,752.73
Jan-11,3.350666667,0.931,9.121,752.31
Feb-11,2.321631,0,6.964893,752.19
Mar-11,0,0,0,751.74
Apr-11,0,0,0,751.89
May-11,0,0,0,751.84
Jun-11,121.1644188,64.51,152.5,753.84
Jul-11,526.80361,491.9,93.92,753.26
Aug-11,160.4966435,261.3,211.4,754
Sep-11,42.2710465,43.534634,33.41,752.74
Oct-11,46.3916175,60.53,43.35,752.84
Nov-11,59.8973415,68.59,46.639366,752.91
Dec-11,23.65455925,36.873524,7.139,752.41
Jan-12,2.513,9.121,0,751.86
Feb-12,1.74122325,6.964893,0,751.84
Mar-12,0,0,0,751.65
Apr-12,0,0,0,751.99
May-12,0,0,0,751.86
Jun-12,100.3151582,152.5,16.918116,752.6
Jul-12,435.609639,93.92,70.833755,753.13
Aug-12,213.8373148,211.4,427.2,754.63
Sep-12,40.0068372,33.41,30.95,752.82
Oct-12,37.113294,43.35,0,752.19
Nov-12,48.85820246,46.639366,4.7016463,752.36
Dec-12,19.8606474,7.139,4.685,752.37
Jan-13,2.0104,0,0,751.93
Feb-13,1.3929786,0,0,751.04
Mar-13,0,0,0,752.03
Apr-13,0,0,0,751.76
May-13,0,0,0,751.95
Jun-13,107.0959652,16.918116,141,753.75
Jul-13,430.9746992,70.833755,407.8,755.2
Aug-13,199.0310957,427.2,125,753.57
Sep-13,42.202536,30.95,53.18103,752.97
Oct-13,35.87249933,0,29.668526,752.73
Nov-13,44.34968822,4.7016463,21.807117,752.64
Dec-13,19.123515,4.685,15.437853,752.54
Jan-14,1.675333333,0,0,752.22
Feb-14,1.1608155,0,0,751.94
Mar-14,0,0,0,751.61
Apr-14,0,0,0,751.65
May-14,0,0,0,751.78
Jun-14,93.66654157,141,13.09,752.46
Jul-14,395.0640279,407.8,179.6,753.95
Aug-14,184.0366534,125,94.07,753.35
Sep-14,53.654313,53.18103,122.364975,753.5
Oct-14,35.96879129,29.668526,36.546543,752.77
Nov-14,42.68687561,21.807117,32.71,752.76
Dec-14,22.72603514,15.437853,44.341156,752.75
Jan-15,1.436,0,0,752.06
Feb-15,0.994984714,0,0,751.63
Mar-15,0,0,0,751.76
Apr-15,0,0,0,752.19
May-15,0,0,0,752.25
Jun-15,106.3971314,13.09,195.51126,754.05
Jul-15,354.8810656,179.6,73.60033,753.09
Aug-15,164.9004764,94.07,30.947237,752.73
Sep-15,64.12353013,122.364975,137.40805,753.73
Oct-15,34.6878105,36.546543,25.720945,752.7
Nov-15,37.89042266,32.71,4.315252,752.35
Dec-15,22.95903075,44.341156,24.59,752.58
Jan-16,1.2565,0,0,751.86
Feb-16,0.870611625,0,0,751.87
Mar-16,0,0,0,751.6
Apr-16,0,0,0,751.64
May-16,0,0,0,751.73
Jun-16,133.7679834,195.51126,352.7348,755.28
Jul-16,323.8957828,73.60033,76.01352,753.04
Aug-16,156.9686679,30.947237,93.5142,753.2
Sep-16,59.82942833,137.40805,25.476614,752.71
Oct-16,35.62040756,25.720945,43.081184,752.87
Nov-16,34.88691981,4.315252,10.858897,752.55
Feb-17,13.98680256,0,118.91633,753.45
Jun-17,129.4030851,352.7348,90.119,753.14
Jul-17,302.2158045,76.01352,107.096,753.28
Aug-17,144.6022011,93.5142,33.304,752.76
Sep-17,501.9146673,25.476614,4480.681818,754.76
Oct-17,33.5881668,43.081184,15.298,752.65
Nov-17,32.16852783,10.858897,7.703,752.4
Dec-17,21.46291622,0,9.494,752.42
Jan-18,1.116888889,0,-,751.8
Feb-18,12.5881223,118.91633,-,751.81
Mar-18,0,0,-,752.09
Apr-18,0,0,-,751.75
May-18,3.074777778,0,27.673,753
Jun-18,538.5248896,90.119,4337.218045,6.11
Jul-18,520.5015188,107.096,3442.857143,753.82
Aug-18,759.6747949,33.304,6246.265938,6.33
Sep-18,498.5359103,4480.681818,0,5.34
Oct-18,30.6595198,15.298,7,4.39
Nov-18,25.89882783,7.703,20.693,752.78
Dec-18,23.18028144,9.494,22.272,752
Jan-19,1.897111111,0,7.022,4.21
Feb-19,12.5881223,0,-,751.74
Mar-19,0,0,-,751.73
Apr-19,0,0,-,751.86
May-19,3.074777778,27.673,-,751.98
Jun-19,536.3601221,4337.218045,-,752.7
Jul-19,494.3620748,3442.857143,-,4.73
Aug-19,752.3001375,6246.265938,-,755.83
Mar-20,0,0,-,751.74
May-20,3.074777778,0,-,752.35
Jun-20,529.9091221,0,-,752.91
Jul-20,445.1720748,0,-,753.01
Aug-20,726.1701375,0,-,752.8
Sep-20,542.6080541,0,-,753.22
Oct-20,22.29613311,0,-,752.68
Nov-20,16.60314203,0,-,752.89
Dec-20,15.99487613,0,-,752.43
Jan-21,0.87775,0,-,751.9
Feb-21,13.21292556,0,-,752.03
Mar-21,0,0,-,751.77
Apr-21,0,0,-,752.02
May-21,3.074777778,0,-,752.18
Jun-21,514.6591221,0,-,752.91
Jul-21,435.7800748,0,-,753.77
Aug-21,705.0301375,0,-,753.44
Sep-21,538.8958319,0,-,753.1
Oct-21,17.47946644,0,-,753
Nov-21,11.42099026,0,-,753
Dec-21,15.10250113,0,-,752.57
Jan-22,0.87775,0,-,752.32
Feb-22,13.21292556,0,-,752.18
Mar-22,0,0,-,752.18
