Dates,Last 10 Year Average (Flow in cumecs),Last Year (Flow in cumecs),Current Year (Flow in cumecs),Level (m)
Jan-07,116.6151148,46.414906,101.00437,122.68
Feb-07,45.30543335,75.59303,60.672337,122.5
Mar-07,48.6030769,99.57215,82.42,122.62
Apr-07,49.9947949,111,67.87534,122.55
May-07,56.4713133,86.53496,64.14815,122.52
Jun-07,160.8388331,390.54843,52.581734,122.43
Jul-07,367.8529449,622.2194,532.51056,123.77
Aug-07,409.474181,607.98846,388.90842,123.53
Sep-07,366.331301,379.91095,1006,124.47
Oct-07,483.243293,151.4409,1345.1615,124.91
Nov-07,323.790825,266.6312,454.41104,123.6
Dec-07,237.9457031,380.9,119.82583,122.74
Jan-08,115.0810435,101.00437,28.689287,122.28
Feb-08,47.39660295,60.672337,89.511696,122.56
Mar-08,47.2074096,82.42,36.953327,122.33
Apr-08,56.3996329,67.87534,120.54838,122.66
May-08,62.5048313,64.14815,90.33518,122.55
Jun-08,161.8283491,52.581734,327.69516,123.44
Jul-08,354.9380789,532.51056,374.75134,123.43
Aug-08,409.574181,388.90842,460.4,123.61
Sep-08,391.641944,1006,664.90643,123.97
Oct-08,459.260318,1345.1615,437.07025,123.53
Nov-08,319.070825,454.41104,416.4,123.52
Dec-08,235.4683162,119.82583,372.62613,123.42
Jan-09,115.1060435,28.689287,26.38,122.15
Feb-09,52.70741735,89.511696,96.418144,122.5
Mar-09,49.8513756,36.953327,83.27966,122.45
Apr-09,60.1822159,120.54838,72.22583,122.42
May-09,62.2458313,90.33518,48.19,122.29
Jun-09,166.2591481,327.69516,70.99799,122.39
Jul-09,337.3298389,374.75134,389.9176,123.51
Aug-09,404.610275,460.4,464.06094,123.63
Sep-09,429.058524,664.90643,661.5658,124.03
Oct-09,475.61481,437.07025,303.94492,123.31
Nov-09,290.969753,416.4,127.68928,122.75
Dec-09,219.4153262,372.62613,301.58005,123.22
Jan-10,94.42659249,26.38,43.67,122.2
Feb-10,56.51424005,96.418144,87.12,122.47
Mar-10,57.1654086,83.27966,118.94033,122.58
Apr-10,61.1025774,72.22583,95.603615,122.49
May-10,56.7047328,48.19,35.459015,122.22
Jun-10,135.1506121,70.99799,85.76074,122.43
Jul-10,316.7260789,389.9176,378.6357,123.55
Aug-10,397.268154,464.06094,285.98837,123.25
Sep-10,431.618372,661.5658,419.68878,123.58
Oct-10,432.224833,303.94492,221.3,123.04
Nov-10,294.203772,127.68928,149.39851,122.73
Dec-10,238.3184892,301.58005,250.45163,123.1
Jan-11,91.13625629,43.67,29.482878,122.17
Feb-11,64.09748665,87.12,137.0685,122.65
Mar-11,63.4438246,118.94033,106.99416,122.52
Apr-11,59.0960807,95.603615,35.12618,122.21
May-11,61.6686022,35.459015,106.958694,122.55
Jun-11,156.0313681,85.76074,585.5727,123.85
Jul-11,348.1504199,378.6357,502.7,123.71
Aug-11,399.48151,285.98837,382.8,123.44
Sep-11,477.726732,419.68878,593.0836,123.92
Oct-11,427.790691,221.3,212.01408,122.99
Nov-11,302.553372,149.39851,381.596,123.4
Dec-11,253.7699992,250.45163,188.18008,123.08
Jan-12,80.06666829,29.482878,220.25362,123.04
Feb-12,68.83387015,137.0685,108.52908,122.57
Mar-12,69.9710806,106.99416,98.88256,122.53
Apr-12,64.5408227,35.12618,92.84649,122.49
May-12,63.8248266,106.958694,53.32271,122.32
Jun-12,159.7940751,585.5727,53.52707,122.32
Jul-12,350.4097241,502.7,54.453033,122.32
Aug-12,403.338199,382.8,95.88686,122.51
Sep-12,497.3934,593.0836,432.9,123.55
Oct-12,415.7989296,212.01408,61.558846,122.33
Nov-12,274.9365413,381.596,29.011843,122.2
Dec-12,256.5754716,188.18008,34.406956,122.2
Jan-13,52.58699159,220.25362,16.277733,122.04
Feb-13,87.9518095,108.52908,191.5018,122.84
Mar-13,66.4544379,98.88256,7.369,121.95
Apr-13,64.5408227,92.84649,0,122.1
May-13,62.0741272,53.32271,0,121.77
Jun-13,160.4036751,53.52707,6.096,122.32
Jul-13,385.0206013,54.453033,349.3108,123.22
Aug-13,463.261936,95.88686,599.23737,123.8
Sep-13,557.093403,432.9,675.9024,123.99
Oct-13,428.5394836,61.558846,450.32724,123.58
Nov-13,291.2994033,29.011843,169.00362,122.9
Dec-13,254.7615406,34.406956,286.47217,123.14
Jan-14,54.6387411,16.277733,21.272085,122.11
Feb-14,90.4589859,191.5018,28.207764,122.46
Mar-14,68.5724379,7.369,21.18,122.4
Apr-14,68.3675504,0,38.267277,122.52
May-14,60.6467364,0,7.841435,122.22
Jun-14,163.5303001,6.096,31.26625,122.47
Jul-14,377.7299733,349.3108,174.3013,122.92
Aug-14,466.677422,599.23737,526.8,123.65
Sep-14,610.780156,675.9024,603.3848,123.92
Oct-14,435.9681906,450.32724,118.29707,122.7
Nov-14,265.1831193,169.00362,15.84,122.32
Dec-14,238.4494141,286.47217,64.511955,122.57
Jan-15,74.0602169,21.272085,207.15729,122.92
Feb-15,91.0030221,28.207764,35.40787,122.47
Mar-15,66.78721385,21.18,12.2809515,122.32
Apr-15,83.6971672,38.267277,203.47856,122.92
May-15,51.9500144,7.841435,26.71,122.42
Jun-15,161.1319234,31.26625,7.2731595,122.26
Jul-15,359.8186013,174.3013,219.38628,122.92
Aug-15,436.765302,526.8,555.5826,123.72
Sep-15,587.266872,603.3848,435.32596,123.41
Oct-15,337.4344806,118.29707,73.23,122.5
Nov-15,204.4054091,15.84,34.072598,122.5
Dec-15,239.2955871,64.511955,394.00107,123.46
Jan-16,78.4127263,207.15729,89.94,122.69
Feb-16,83.55936692,35.40787,1.1564782,122.06
Mar-16,58.81045195,12.2809515,19.804531,122.41
Apr-16,77.0493182,203.47856,44.52151,122.55
May-16,43.7463118,26.71,4.497934,122.21
Jun-16,123.153327,7.2731595,10.762466,122.34
Jul-16,309.6232993,219.38628,120.26638,122.67
Aug-16,376.272486,555.5826,3.0603,122.15
Sep-16,582.550631,435.32596,332.74854,123.38
Oct-16,331.985166,73.23,96.947754,122.6
Nov-16,180.8615262,34.072598,31.192371,122.45
Dec-16,201.6177578,394.00107,4.1217074,122.13
Jan-17,68.8329204,89.94,5.206311,122.17
Feb-17,77.65576228,1.1564782,1.6362906,122.07
Mar-17,50.64182055,19.804531,0.733686,121.99
May-17,37.58669459,4.497934,2.5519779,122.09
Jun-17,117.8951536,10.762466,0,121.57
Jul-17,256.4768433,120.26638,1.046,122.04
Aug-17,337.727944,3.0603,3.463,122.1
Sep-17,483.250631,332.74854,13,122.27
Oct-17,224.619016,96.947754,271.5,123.25
Nov-17,153.4704222,31.192371,180.5,123.01
Dec-17,221.9597748,4.1217074,323.246,123.34
Jan-18,66.2424917,5.206311,2.785,122.06
Feb-18,68.84399268,1.6362906,1.394,121.87
Mar-18,47.09438785,0.733686,1.479,121.99
Apr-18,65.68060689,0,9.056,122.2
May-18,28.72387659,2.5519779,1.707,121.92
Jun-18,85.42003755,0,2.944,0
Jul-18,284.8845093,1.046,658.828,124.07
Aug-18,332.170444,3.463,404.825,2.28
Sep-18,495.709988,13,789.5,2.2
Oct-18,226.515491,271.5,456.035,2.3
Nov-18,121.4304222,180.5,96,123.07
Dec-18,206.3071618,323.246,216.1,123.28
Jan-19,64.8190917,2.785,12.146,0.75
Feb-19,235.6836598,1.394,1764.814815,122.82
Mar-19,188.6130885,1.479,1498.466667,0.62
Apr-19,57.65551467,9.056,-,122.25
May-19,23.90487659,1.707,-,122.29
Jun-19,78.32023855,2.944,-,122.11
Jul-19,245.8927493,658.828,-,0.64
Aug-19,285.76435,404.825,-,0.096
Sep-19,429.553408,789.5,-,0.012
Oct-19,196.120999,456.035,-,1.895
Nov-19,108.6614942,96,-,0.44
Dec-19,176.1491568,216.1,-,1.69
Jan-20,60.4520917,12.146,-,2.85
Feb-20,226.9716598,1764.814815,-,122.22
Mar-20,176.7190555,1498.466667,-,122.35
Apr-20,47.03289078,0,-,122.52
May-20,20.35897509,0,-,122.2
Jun-20,69.74416455,0,-,123.39
Jul-20,208.0291793,0,-,123.16
Aug-20,257.165513,0,-,123.76
Sep-20,387.58453,0,-,123.18
Oct-20,173.990999,0,-,123.47
Nov-20,93.7216432,0,-,122.47
Dec-20,151.1039938,0,-,123.42
Jan-21,57.5038039,0,-,122.43
Feb-21,213.2648098,0,-,122.41
Mar-21,166.0196395,0,-,122.27
Apr-21,43.12998189,0,-,122.15
May-21,9.66310569,0,-,122.33
Jun-21,11.18689455,0,-,123.7
Jul-21,157.7591793,0,-,123.65
Aug-21,218.885513,0,-,123.28
Sep-21,328.27617,0,-,123.53
Oct-21,152.789591,0,-,122.75
Nov-21,55.5620432,0,-,123.92
Dec-21,132.2859858,0,-,123.5
Jan-22,35.4784419,0,-,122.61
Feb-22,202.4119018,0,-,122.45
Mar-22,156.1313835,0,-,122.38
