Dates,Last 10 Year Average (Flow in cumecs),Last Year (Flow in cumecs),Current Year (Flow in cumecs),Level (m)
Jan-07,57.3857036,84.17016,47.582726,624.58
Feb-07,62.8502026,74.9117,57.328526,624.57
Mar-07,50.7362349,72.740425,61.87,624.58
Apr-07,53.2944241,61.97,63.620686,624.61
May-07,61.5825583,125.14737,59.268963,624.56
Jun-07,122.529696,170.29494,190.08937,625.08
Jul-07,480.031915,778.55994,375.60367,625.23
Aug-07,350.0604956,353.49484,332.5304,625.27
Sep-07,274.033284,379.40518,369.7,625.3
Oct-07,419.009418,378.2877,495.0408,625.5
Nov-07,187.213358,183.28546,214.82477,625
Dec-07,90.580355,101.2,85.54,624.71
Jan-08,58.5351376,47.582726,71.81434,624.67
Feb-08,59.7122026,57.328526,48.17,624.75
Mar-08,50.3139984,61.87,73.677635,624.93
Apr-08,53.0604241,63.620686,77.47,624.94
May-08,65.3507613,59.268963,95.68203,625
Jun-08,122.970729,190.08937,67.37033,624.89
Jul-08,488.806325,375.60367,578.0441,625.53
Aug-08,402.5504956,332.5304,744,625.65
Sep-08,251.706151,369.7,256.72867,625.14
Oct-08,424.538738,495.0408,278.6932,625.15
Nov-08,193.253358,214.82477,248.9,625.14
Dec-08,88.668355,85.54,63.07,624.72
Jan-09,56.8481376,71.81434,33.63,624.62
Feb-09,58.242259,48.17,34.800564,624.63
Mar-09,50.9869984,73.677635,35.18,624.66
Apr-09,49.9074241,77.47,32.5,624.59
May-09,64.5167613,95.68203,37.55,624.72
Jun-09,117.1741689,67.37033,24.364399,624.46
Jul-09,405.246325,578.0441,353.4,625.33
Aug-09,404.8626966,744,229.12201,625.08
Sep-09,256.102591,256.72867,271.1644,625.21
Oct-09,336.807815,278.6932,215.69077,625.09
Nov-09,184.983358,248.9,125.4,624.94
Dec-09,83.284355,63.07,44.98,624.8
Jan-10,53.2831376,33.63,27.86,624.68
Feb-10,49.477259,34.800564,24.85,624.66
Mar-10,48.5635554,35.18,23.27557,624.64
Apr-10,46.8321777,32.5,55.247536,624.85
May-10,66.190784,37.55,43.350227,624.77
Jun-10,103.2396209,24.364399,21.66,624.59
Jul-10,475.662366,353.4,769.9319,625.76
Aug-10,292.8980616,229.12201,187.16455,625.16
Sep-10,247.182584,271.1644,185.6048,625.15
Oct-10,337.4498,215.69077,231.7,625.2
Nov-10,181.223327,125.4,160.68515,625.15
Dec-10,77.0944914,44.98,63.101364,624.83
Jan-11,51.7488217,27.86,50.897205,624.8
Feb-11,47.104879,24.85,42.48,624.78
Mar-11,47.3913972,23.27557,29.24,624.65
Apr-11,45.2895939,55.247536,33.487717,624.67
May-11,64.423859,43.350227,49.03,624.75
Jun-11,106.2840059,21.66,285.44263,625.3
Jul-11,484.624984,769.9319,214.1,625.18
Aug-11,329.4346726,187.16455,532.4,625.43
Sep-11,246.254961,185.6048,186.52377,625.13
Oct-11,336.818333,231.7,184.12971,625.18
Nov-11,196.529623,160.68515,321.19296,625.36
Dec-11,73.8324914,63.101364,53.71,624.77
Jan-12,49.0323729,50.897205,26.92,624.68
Feb-12,42.956079,42.48,26.06,624.71
Mar-12,44.2779972,29.24,30.36,624.74
Apr-12,48.6235939,33.487717,45.9,624.78
May-12,63.232859,49.03,29.16,624.7
Jun-12,105.0590059,285.44263,18.53,624.57
Jul-12,473.696961,214.1,21.13,624.62
Aug-12,325.156285,532.4,70.97,624.88
Sep-12,237.436695,186.52377,144.5,625.05
Oct-12,246.905333,184.12971,64.37,624.85
Nov-12,185.679623,321.19296,63.7,624.84
Dec-12,68.4420324,53.71,37.02,624.72
Jan-13,44.9363729,26.92,16.99,624.53
Feb-13,39.384079,26.06,0,624.42
Mar-13,42.2599972,30.36,0,624.44
Apr-13,46.9705939,45.9,0,624.48
May-13,61.722859,29.16,0,624.42
Jun-13,165.7720059,18.53,678.4,625.73
Jul-13,563.126961,21.13,988.4,626
Aug-13,327.596441,70.97,283.60156,625.26
Sep-13,232.260857,144.5,132.29489,625
Oct-13,247.7207294,64.37,123.453964,624.93
Nov-13,184.12184,63.7,121.72217,624.93
Dec-13,67.0556156,37.02,33.145832,624.68
Jan-14,42.7588394,16.99,20.81,624.59
Feb-14,38.217079,0,16.77,624.59
Mar-14,42.2621816,0,27.95,624.65
Apr-14,45.8845939,0,20.71,624.6
May-14,57.390859,0,42.47,624.75
Jun-14,164.8711889,678.4,155.24606,625.07
Jul-14,568.968713,988.4,384.51752,625.4
Aug-14,329.232968,283.60156,168.6,625.07
Sep-14,256.401033,132.29489,383.83502,625.4
Oct-14,245.2262764,123.453964,153.15547,625.1
Nov-14,184.387521,121.72217,113.7,624.95
Dec-14,64.0785606,33.145832,38.44,624.65
Jan-15,40.5094431,20.81,24.42,624.57
Feb-15,32.537079,16.77,0,625.2
Mar-15,35.429363,27.95,0,624.52
Apr-15,43.3645939,20.71,42.74,624.67
May-15,54.948859,42.47,67.83,624.79
Jun-15,200.0505979,155.24606,389.10825,625.4
Jul-15,477.98233,384.51752,316.13617,625.19
Aug-15,311.337182,168.6,211.48846,625.01
Sep-15,260.292467,383.83502,293.16794,625.1
Oct-15,227.4745124,153.15547,150.22351,624.94
Nov-15,173.244409,113.7,179.03358,624.94
Dec-15,54.5405654,38.44,25.198458,624.58
Jan-16,32.0924271,24.42,0,624.45
Feb-16,28.166909,0,31.21,624.61
Mar-16,28.1553205,0,0,624.42
