Dates,Last 10 Year Average (Flow in cumecs),Last Year (Flow in cumecs),Current Year (Flow in cumecs),Level (m)
Jan-07,8.71097577,9.539546,8.59,811.24
Feb-07,5.7760391,5.258761,3.795,811.04
Mar-07,3.95193493,5.9526935,1.584,810.92
Apr-07,6.30691247,4.344,4.275149,811.06
May-07,82.6367784,707.1348,4.897,811.09
Jun-07,218.822038,460.32675,550.1,815.25
Jul-07,290.969913,230.37451,124,812.66
Aug-07,149.6794136,75.31,192.8,813.2
Sep-07,60.9109668,67.26,144.4,812.83
Oct-07,45.8756268,33.66,60.54,812.04
Nov-07,21.8397346,20.14,23.720057,811.61
Dec-07,12.3657768,13.26,10.225035,811.4
Jan-08,8.43967577,8.59,7.937,811.25
Feb-08,5.5894391,3.795,5.328,811.14
Mar-08,4.64202793,1.584,10.62093,811.38
Apr-08,6.00111247,4.275149,5.768,811.16
May-08,82.7414784,4.897,5.547,811.15
Jun-08,175.680471,550.1,234.18433,813.5
Jul-08,322.429913,124,913.7,816.8
Aug-08,145.1034136,192.8,74.34,812.17
Sep-08,57.8608308,144.4,40.69864,811.74
Oct-08,44.9716268,60.54,38.29,811.76
Nov-08,21.1547346,23.720057,20.32,811.5
Dec-08,11.5827768,10.225035,9.51,811.25
Jan-09,8.06217577,7.937,5.425,811.11
Feb-09,5.1374391,5.328,1.68,810.94
Mar-09,4.80622793,10.62093,7.077,811.17
Apr-09,6.05001247,5.768,5.689,811.12
May-09,80.9124784,5.547,4.91,811.09
Jun-09,174.612471,234.18433,22.06,811.48
Jul-09,309.509913,913.7,348.7,814.08
Aug-09,144.4464136,74.34,71.48,812.09
Sep-09,58.8018308,40.69864,56.53,811.93
Oct-09,38.9532331,38.29,32.816063,811.64
Nov-09,20.6603069,20.32,26.455723,811.55
Dec-09,13.5987384,9.51,33.559616,811.64
Jan-10,8.31477577,5.425,11.33,811.25
Feb-10,5.0680391,1.68,6.441,811.13
Mar-10,4.79955631,7.077,3.9332838,811.05
Apr-10,6.39961737,5.689,8.296049,811.21
May-10,80.65794194,4.91,5.1546354,811.1
Jun-10,177.5229439,22.06,89.211975,812.28
Jul-10,365.462913,348.7,608.5,816.19
Aug-10,171.1964136,71.48,589.3,816.08
Sep-10,56.3989064,56.53,49.37297,811.93
Oct-10,40.1833818,32.816063,52.43,811.94
Nov-10,22.2430287,26.455723,43.777218,811.87
Dec-10,14.3618994,33.559616,21.23161,811.53
Jan-11,8.53368397,11.33,13.105535,811.32
Feb-11,5.2500767,6.441,9.015196,811.25
Mar-11,4.89755932,3.9332838,5.9290247,811.17
Apr-11,6.720131,8.296049,9.057107,811.25
May-11,78.91994424,5.1546354,4.120172,811.08
Jun-11,182.7107939,89.211975,127.48432,812.82
Jul-11,367.481689,608.5,157.2,812.95
Aug-11,179.3184656,589.3,247.2,813.74
Sep-11,57.5070024,49.37297,54.73096,811.83
Oct-11,42.2590603,52.43,53.37263,811.85
Nov-11,23.0816363,43.777218,30.376076,811.58
Dec-11,15.2007413,21.23161,21.811121,811.34
Jan-12,8.47180757,13.105535,9.166,811.19
Feb-12,4.7030801,9.015196,3.503,810.99
Mar-12,5.38345932,5.9290247,11.68,811.28
Apr-12,7.3891503,9.057107,12.37,811.28
May-12,78.48673304,4.120172,3.883,811
Jun-12,181.0521682,127.48432,39.453743,811.76
Jul-12,372.688476,157.2,153.64081,812.35
Aug-12,207.2368656,247.2,327.9848,814.45
Sep-12,59.3028611,54.73096,50.84,811.79
Oct-12,40.4895135,53.37263,31.417942,811.5
Nov-12,23.3880927,30.376076,19.320635,811.41
Dec-12,15.7732076,21.811121,15.854663,811.29
Jan-13,8.3540629,9.166,5.206,811.09
Feb-13,4.47202943,3.503,3.699,811
Mar-13,5.31398255,11.68,3.773,810.99
Apr-13,6.3804836,12.37,1.626,810.85
May-13,78.52496494,3.883,4.168,810.98
Jun-13,190.9261682,39.453743,157.7,812.85
Jul-13,420.963626,153.64081,623.2706,815.08
Aug-13,206.3750016,327.9848,103.98136,812.37
Sep-13,64.1029296,50.84,73.94182,812.01
Oct-13,43.8767839,31.417942,56.626587,811.75
Nov-13,26.6506257,19.320635,43.19533,811.55
Dec-13,16.9120061,15.854663,20.499985,811.33
Jan-14,8.6342629,5.206,7.808,811.14
Feb-14,4.58542943,3.699,3.07,810.98
Mar-14,5.33750013,3.773,1.65,810.91
Apr-14,6.4015836,1.626,3.905,811
May-14,75.30506494,4.168,9.751,811.2
Jun-14,189.3729918,157.7,41.46457,811.65
Jul-14,435.839556,623.2706,367.00964,814.4
Aug-14,224.794806,103.98136,262,813.35
Sep-14,70.576184,73.94182,97.06078,812.06
Oct-14,46.0062253,56.626587,52.024414,811.72
Nov-14,28.3349492,43.19533,31.72,811.5
Dec-14,18.2962119,20.499985,24.374084,811.36
Jan-15,8.7019081,7.808,8.912,811.23
Feb-15,4.6491957,3.07,4.702,811.06
Mar-15,5.5836932,1.65,3.637,811.01
Apr-15,6.5170305,3.905,9.84,811.26
May-15,75.86076074,9.751,9.042,811.23
Jun-15,196.0343198,41.46457,238.35751,813.22
Jul-15,365.236387,367.00964,125.96831,812.41
Aug-15,204.179616,262,97.4,812.06
Sep-15,75.9887485,97.06078,125.052315,812.4
Oct-15,47.7387391,52.024414,66.209755,811.65
Nov-15,30.9808585,31.72,50.783546,811.42
Dec-15,20.2265642,24.374084,31.939528,811.31
Jan-16,8.6321535,8.912,8.842,811.16
