Dates,Last 10 Year Average (Flow in cumecs),Last Year (Flow in cumecs),Current Year (Flow in cumecs),Level (m)
Jan-07,107.0807516,64.89686,65.837524,82.92
Feb-07,23.0987369,19.45871,16.640757,82.73
Mar-07,13.0771704,24.755957,10.69,82.71
Apr-07,12.4071806,17.44,7.601806,82.68
May-07,10.43151575,2.156,7.4290395,82.69
Jun-07,135.1843143,360.07852,7.1818786,82.69
Jul-07,333.6849329,641.24664,499.88376,83.69
Aug-07,398.7164132,564.0383,540.1366,83.44
Sep-07,363.138597,324.36072,1217,84.13
Oct-07,429.191544,230.09413,1085.0493,84.03
Nov-07,298.453381,98.569,560.7524,83.52
Dec-07,272.429873,380.8,154.00552,82.81
Jan-08,103.6997516,65.837524,65.53,82.8
Feb-08,18.6416369,16.640757,4.169,82.6
Mar-08,12.4650105,10.69,20.568401,82.68
Apr-08,10.9671365,7.601806,16.389559,82.67
May-08,13.34318335,7.4290395,56.616676,82.82
Jun-08,147.1449413,7.1818786,456.80627,83.37
Jul-08,332.1866109,499.88376,437.51678,83.36
Aug-08,408.3141332,540.1366,595.7772,83.56
Sep-08,403.072252,1217,737.33655,83.7
Oct-08,406.002212,1085.0493,389.00668,83.37
Nov-08,327.986527,560.7524,713.43146,83.69
Dec-08,271.606359,154.00552,370.66486,83.36
Jan-09,97.4459396,65.53,59.96188,82.98
Feb-09,17.8318219,4.169,11.90185,82.69
Mar-09,11.1111928,20.568401,8.111823,82.69
Apr-09,9.5857563,16.389559,4.686198,82.65
May-09,12.83988335,56.616676,4.415,82.64
Jun-09,146.0582413,456.80627,6.883,82.66
Jul-09,334.6366109,437.51678,464.3,83.42
Aug-09,410.8441332,595.7772,506,83.49
Sep-09,441.692252,737.33655,800.1,83.73
Oct-09,424.612212,389.00668,384.7,83.34
Nov-09,267.037527,713.43146,31.51,82.7
Dec-09,254.335786,370.66486,264.09427,83.17
Jan-10,83.6069396,59.96188,56.21,82.79
Feb-10,16.7498219,11.90185,19.42,82.67
Mar-10,10.8690823,8.111823,10.528895,82.63
Apr-10,7.9352812,4.686198,9.095249,82.65
May-10,11.80765005,4.415,7.507667,82.6
Jun-10,116.8167478,6.883,31.885065,82.84
Jul-10,305.1337729,464.3,333.47162,83.4
Aug-10,392.2775692,506,235.93436,83.25
Sep-10,456.13336,800.1,346.61108,83.48
Oct-10,416.482212,384.7,332.6,83.46
Nov-10,334.449963,31.51,699.71436,83.69
Dec-10,254.777496,264.09427,212.6171,83.17
Jan-11,83.4240569,56.21,51.401173,82.69
Feb-11,18.9942395,19.42,40.394176,82.75
Mar-11,11.3151197,10.528895,28.010374,82.58
Apr-11,10.4601627,9.095249,34.863815,82.52
May-11,12.78392745,7.507667,18.663774,82.42
Jun-11,137.0684418,31.885065,505.54544,83.44
Jul-11,348.7060875,333.47162,558.1,83.36
Aug-11,385.0981562,235.93436,380.6,83.08
Sep-11,497.334864,346.61108,491.54504,83.25
Oct-11,422.246726,332.6,123.00741,82.53
