Dates,Last 10 Year Average (Flow in cumecs),Last Year (Flow in cumecs),Current Year (Flow in cumecs),Level (m)
Jan-07,88.341007,0,0,158.25
Feb-07,16.8950279,0,51.942863,158.7
Mar-07,24.3044748,32.57,84.9,158.9
Apr-07,17.7327644,0,0,158.1
May-07,21.0566565,10.23,0,158.1
Jun-07,155.3268244,455.13068,0,158.08
Jul-07,380.883777,657.8443,474.25812,160.38
Aug-07,424.305954,608.8902,386.49402,159.98
Sep-07,297.0410576,286.9938,613.7,160.8
Oct-07,345.920779,0,935.2001,161.55
Nov-07,334.91855,284.73526,438.10544,160.22
Dec-07,201.19783,376.5,0,158.02
Jan-08,88.341007,0,0,157.78
Feb-08,22.0148059,51.942863,51.19778,158.64
Mar-08,20.0044748,84.9,0,157.9
Apr-08,8.0327644,0,0,158.2
May-08,16.1566565,0,0,158.01
Jun-08,154.1897944,0,349.0297,160
Jul-08,363.086747,474.25812,349.0297,160
Aug-08,410.915954,386.49402,380,160.15
Sep-08,323.8607776,613.7,480.0972,160.66
Oct-08,314.496831,935.2001,341.66052,159.95
Nov-08,303.92855,438.10544,176.2,158.8
Dec-08,198.931105,0,320.53275,159.82
Jan-09,88.341007,0,0,157.9
Feb-09,22.0148059,51.19778,0,158.45
Mar-09,40.9145638,0,209.10089,159
Apr-09,8.0327644,0,0,158.32
May-09,16.1566565,0,0,158.49
Jun-09,154.1897944,349.0297,0,158.15
Jul-09,337.620884,349.0297,366.8067,160.17
Aug-09,405.349853,380,428.99362,160.34
Sep-09,378.4361116,480.0972,767.0824,160.91
Oct-09,336.467858,341.66052,219.71027,159.36
Nov-09,255.185896,176.2,92.27346,159
Dec-09,182.876669,320.53275,273.82504,159.79
Jan-10,61.19712,0,0,157.9
Feb-10,28.2248059,0,62.1,158.75
Mar-10,40.9145638,209.10089,0,158.18
Apr-10,14.5013824,0,64.68618,158.76
May-10,9.5446325,0,0,157.98
Jun-10,128.6404894,0,67.7055,158.66
Jul-10,317.701882,366.8067,378.08768,160.06
Aug-10,386.260193,428.99362,293.276,159.71
Sep-10,375.8519166,767.0824,405.85052,160.12
Oct-10,289.704053,219.71027,134.3,159.11
Nov-10,230.31051,92.27346,0,158.1
Dec-10,202.911879,273.82504,200.3521,159.47
Jan-11,61.19712,0,0,158
Feb-11,38.5695759,62.1,103.4477,158.99
Mar-11,40.9145638,0,0,158.2
Apr-11,14.5013824,64.68618,0,157.95
May-11,2.083,0,0,158.48
Jun-11,147.5920514,67.7055,554.014,160.42
Jul-11,350.777959,378.08768,532,160.45
Aug-11,382.85565,293.276,359.8,159.98
Sep-11,416.8992966,405.85052,572.5738,160.56
Oct-11,269.217569,134.3,0,158.15
Nov-11,200.53051,0,0,158.43
Dec-11,217.408094,200.3521,147.99315,159.2
Jan-12,42.314967,0,167.11427,159.37
Feb-12,34.1220768,103.4477,72.532425,158.84
Mar-12,44.9092073,0,49.860435,158.72
Apr-12,11.6520557,0,51.834377,158.69
May-12,5.5308964,0,45.078964,158.64
Jun-12,151.9732179,554.014,43.811665,158.65
Jul-12,348.9530472,532,49.257442,158.7
Aug-12,384.975321,359.8,97.63792,158.99
Sep-12,432.5600366,572.5738,401,160.1
Oct-12,264.788709,0,0,158.27
Nov-12,174.11045,0,0,158.41
Dec-12,217.408094,147.99315,0,158.1
Jan-13,16.711427,167.11427,0,157.88
Feb-13,44.6323878,72.532425,105.10311,159.03
Mar-13,40.9910089,49.860435,0,157.95
Apr-13,11.6520557,51.834377,0,158.23
May-13,5.5308964,45.078964,0,157.99
Jun-13,151.9732179,43.811665,0,158.38
Jul-13,369.5048132,49.257442,273.66837,159.81
Aug-13,435.708781,97.63792,549.2246,160.48
Sep-13,494.996826,401,709.6797,160.81
Oct-13,279.642129,0,455.0504,160.25
Nov-13,190.914225,0,168.03775,159.34
Dec-13,212.529112,0,243.99278,159.65
Jan-14,16.711427,0,0,157.95
Feb-14,44.6323878,105.10311,0,158.47
Mar-14,47.5300089,0,65.39,158.77
Apr-14,19.1168972,0,74.648415,158.88
May-14,5.5308964,0,0,158.13
Jun-14,151.0414682,0,40.723137,158.57
Jul-14,371.2924412,273.66837,214.0721,159.52
Aug-14,440.665399,549.2246,504.2,160.29
Sep-14,556.739972,709.6797,617.43146,160.59
Oct-14,279.642129,455.0504,0,158.04
Nov-14,163.374855,168.03775,0,158.1
Dec-14,200.6270668,243.99278,51.307518,158.57
Jan-15,34.804529,0,180.93102,159.3
Feb-15,45.7823878,0,11.5,158.14
Mar-15,44.1821325,65.39,0,158.44
Apr-15,37.2168882,74.648415,180.99991,159.3
May-15,5.5308964,0,0,158.46
Jun-15,151.0414682,40.723137,0,158.08
Jul-15,351.9237112,214.0721,224.2127,159.47
